title,new_price,old_price,sale
Ноутбук игровой HP Pavilion Gaming 15-ec2024ur (491K4EA),74 999 ₽,,
Ноутбук Honor MagicBook X15 8+512GB Space Gray (BBR-WAH9)/(53011UGG-001),59 999 ₽,64 999 ₽,-8%
Игровой ноутбук Acer Nitro 5 Nitro AN517-54-77PS Black (1000653474),159 999 ₽,214 999 ₽,-26%
Ноутбук HP 15s-eq1349ur (491L4EA),47 891 ₽,,
Ультрабук Honor MagicBook X14 NBR-WAI9 8+256GB Space Grey (53011TVN-001),44 999 ₽,49 999 ₽,
Игровой ноутбук Lenovo Legion 5 Legion 5 15ACH6A (82NW0046RU) Black (82NW0046RU),109 999 ₽,119 999 ₽,
Ноутбук Lenovo IdeaPad 1 14IGL05 (81VU007XRU),26 490 ₽,,
Ноутбук HP 17-cp 17-cp0126ur Silver (5D666EA),54 999 ₽,,
Ноутбук Huawei MateBook 14 KLVL-W56W (53012NVL),72 314 ₽,79 999 ₽,
Игровой ноутбук Acer Aspire 7 Aspire 7 A715-42G-R3FW (NH.QDLER.003) Black (1000667103),79 999 ₽,119 999 ₽,
Ноутбук Apple MacBook Air 2020 M1/8GB/256GB Silver (MGN93RU/A),129 990 ₽,,
Ноутбук Lenovo IdeaPad 3 14ALC6 (82KT002VRK) Blue,36 890 ₽,40 900 ₽,
Ноутбук Lenovo IdeaPad 3 14ADA05 (81W000KNRU),44 999 ₽,51 999 ₽,
Ноутбук Lenovo IdeaPad 1 11ADA05 Grey (82GV003TRK),19 900 ₽,21 030 ₽,
Ультрабук Honor MagicBook X 14 NBR-WAI9 (5301AAPL),44 980 ₽,49 330 ₽,
Ноутбук Acer Nitro 5 AN515-55-51HQ черный (NH.Q7MER.00L),74 490 ₽,87 990 ₽,
Ноутбук Honor MagicBook 15 16+512GB Space Grey (BMH-WFQ9HN),72 304 ₽,80 041 ₽,
Ноутбук игровой MSI GL66 11UCK-424XRU,85 433 ₽,89 980 ₽,
Ноутбук Huawei MateBook D 15 (BoB-WAI9),47 150 ₽,,
Ноутбук HP 15s-eq1364ur (491L5EA),42 999 ₽,,
Ноутбук Lenovo IdeaPad 3 17ITL6 (82H9003DRK),28 389 ₽,,
Ноутбук HP 15s-eq1315ur (3B4S7EA),34 999 ₽,44 999 ₽,
Ноутбук HP 15s-fq 15s-fq2151ur Gray (5R9R8EA),54 999 ₽,,
Игровой ноутбук HP Victus 16-e0002ur Blue (601G1EA),114 999 ₽,,
Ноутбук Lenovo IdeaPad 5 14ITL05 (82FE00C4RU),101 490 ₽,,
Игровой ноутбук ASUS TUF Gaming FX506LH-HN197 Black (90NR03U1-M05380),99 000 ₽,,
Игровой ноутбук MSI GF63 Thin 11UD-222XRU Black (9S7-16R612-222),96 400 ₽,101 500 ₽,
Ультрабук Huawei MateBook D 16 (HVY-WAP9 16+512GB Sp/Gr),83 898 ₽,89 600 ₽,
Ноутбук Acer Extensa 15 EX215-31-P5VU (NX.EFTER.00U),44 118 ₽,47 058 ₽,-6%
Ноутбук Apple MacBook Air 2020 M1/8GB/256GB Space Gray (MGN63RU/A),158 911 ₽,,
Игровой ноутбук Lenovo IdeaPad Gaming 3 15IHU6 черный (82K1010KRK),74 999 ₽,,
Ноутбук ASUS Vivobook R565JA-BQ2497W (),49 999 ₽,64 999 ₽,-23%
Ноутбук игровой ASUS TUF Gaming F15 FX506LH-HN082T (0),89 999 ₽,94 999 ₽,
Ультрабук Huawei MateBook 16 CurieM-WFD9AW (53012VNB),101 028 ₽,109 999 ₽,
Ноутбук HP 16-e0080ur blue (4E1L2EA),84 190 ₽,89 100 ₽,
Ноутбук ASUS ExpertBook B1 B1500CEAE-BQ2279T (90NX0441-M26860),34 990 ₽,46 314 ₽,
Ноутбук Lenovo IdeaPad 3 14ADA05 (81W000FXRU),47 210 ₽,,
Ноутбук HP 17-cn 17-cn0101ur Silver (5D5G4EA),59 999 ₽,74 999 ₽,-20%
Игровой ноутбук MSI Katana GF76 12UGS-246RU Black (9S7-17L322-246),185 999 ₽,,
Ноутбук HP 15s-eq 15s-eq2099ur Silver (5D647EA),49 999 ₽,64 999 ₽,-23%
Ноутбук Apple MacBook Air 13 M1/16Gb/256Gb Grey (Z1240004P),166 980 ₽,168 101 ₽,
Игровой ноутбук MSI Sword 15 Sword 15 A12UE-286XRU White (531114),114 265 ₽,,
Игровой ноутбук HP Victus 16-E0078UR (4E1L0EA) серый (532395),94 900 ₽,,
Игровой ноутбук MSI GF63 Thin 11UD-221RU Black (9S7-16R612-221),96 000 ₽,103 455 ₽,
Ноутбук HP 15s-fq0095ur Gray (669Y0EA),34 999 ₽,,
Ноутбук HP 15s-fq 15s-fq2111ur Silver (5D5E5EA),39 999 ₽,69 999 ₽,
Ноутбук игровой HP OMEN 16-c0001ur 491L8EA,139 999 ₽,,
Игровой ноутбук ASUS ROG STRIX G17 G713IM-HX017W (90NR05D2-M001T0),159 999 ₽,,
Ноутбук Honor MagicBook X15 8+256GB Space Gray (BBR-WAI9)/(53011UGC-001),49 728 ₽,,
Ноутбук MSI Katana GF76 11UC-679XRU (9S7-17L212-679),94 999 ₽,,
Ноутбук-трансформер ASUS R522MA-EJ693W Black,34 999 ₽,59 999 ₽,-42%
Ноутбук Lenovo IdeaPad 3 15ARE05 (81W40033RK),36 490 ₽,,
Ноутбук Apple MacBook Pro 2020 M1/16Gb/512Gb Space Gray (Z11B0004U),249 990 ₽,,
